cluster,confidence,correlate,draft_report,elapsed_s,enrich,extract_indicators,finalize_and_persist,gather_context,model,reasoning_effort,repeat,risk_assessment,role,self_check,severity,status,triage
email,high,95.0,130.3,320.1,0.0,22.5,0.0,0.4,gemma4:12b@default,default,0,39.9,benign,171.5,high,complete,true_positive
winlogon,high,96.9,120.8,216.0,0.0,47.9,0.0,0.4,gemma4:12b@default,default,0,41.2,benign,87.0,high,complete,true_positive
ssh,high,41.3,63.8,208.2,0.0,14.3,0.0,0.4,gemma4:12b@default,default,0,13.1,benign,74.8,high,needs_human_review,true_positive
winlogon,high,64.5,66.7,255.0,0.0,31.0,0.0,0.4,gemma4:12b@default,default,0,16.7,fp_control,75.2,low,complete,true_positive
powershell,high,82.6,51.9,246.3,0.0,16.1,0.0,0.4,gemma4:12b@default,default,0,14.2,benign,83.4,low,complete,false_positive
tp_chain,medium,54.2,157.7,334.7,0.0,13.4,0.0,0.4,gemma4:12b@default,default,0,21.8,needle,94.1,high,complete,uncertain
powershell,high,106.9,63.9,261.5,0.0,19.6,0.0,0.4,gemma4:12b@default,default,0,15.7,needle,54.5,critical,complete,true_positive
ssh,high,76.8,78.6,283.8,0.0,12.4,0.0,0.4,gemma4:12b@default,default,0,10.3,needle,104.8,high,complete,true_positive
winlogon,high,67.2,70.7,259.2,0.0,31.0,0.0,0.4,gemma4:12b@default,default,0,17.1,fp_control,78.8,low,complete,true_positive
email,high,242.6,77.7,431.9,0.0,24.2,0.0,0.4,gemma4:12b@default,default,0,15.3,needle,71.3,high,complete,true_positive
tp_chain,high,64.4,638.5,421.2,0.0,29.0,0.0,0.4,gemma4:12b@default,default,0,15.7,needle,91.1,high,complete,
email,high,23.3,36.9,149.0,0.0,18.6,0.0,0.4,gemma4:26b-a4b-it-qat@default,default,0,7.3,benign,62.0,high,needs_human_review,true_positive
winlogon,high,19.5,34.6,138.6,0.0,17.8,0.0,0.4,gemma4:26b-a4b-it-qat@default,default,0,7.0,benign,58.9,high,complete,uncertain
ssh,high,40.9,29.9,159.1,0.0,6.0,0.0,0.4,gemma4:26b-a4b-it-qat@default,default,0,5.8,benign,75.7,high,complete,true_positive
winlogon,high,12.1,41.4,141.7,0.0,18.4,0.0,0.4,gemma4:26b-a4b-it-qat@default,default,0,5.6,fp_control,63.4,high,complete,true_positive
powershell,high,39.2,20.5,121.2,0.0,42.1,0.0,0.4,gemma4:26b-a4b-it-qat@default,default,0,6.4,benign,12.1,low,complete,false_positive
tp_chain,medium,31.2,43.9,240.2,0.0,12.5,0.0,0.4,gemma4:26b-a4b-it-qat@default,default,0,7.7,needle,144.1,high,complete,uncertain
powershell,high,66.0,55.2,171.9,0.0,13.6,0.0,0.4,gemma4:26b-a4b-it-qat@default,default,0,9.7,needle,26.6,critical,complete,true_positive
ssh,high,80.6,48.9,283.6,0.0,6.0,0.0,0.4,gemma4:26b-a4b-it-qat@default,default,0,5.8,needle,141.5,high,complete,true_positive
winlogon,medium,29.6,34.3,161.0,0.0,11.9,0.0,0.4,gemma4:26b-a4b-it-qat@default,default,0,9.7,fp_control,74.5,medium,complete,uncertain
email,high,30.6,30.0,115.1,0.0,10.0,0.0,0.4,gemma4:26b-a4b-it-qat@default,default,0,7.6,needle,36.0,high,complete,true_positive
tp_chain,high,42.8,33.0,157.5,0.0,42.3,0.0,0.4,gemma4:26b-a4b-it-qat@default,default,0,7.0,needle,31.5,critical,complete,true_positive
email,high,21.5,29.0,103.6,0.0,19.7,0.0,0.4,gemma4:latest@default,default,0,9.1,benign,23.3,high,complete,true_positive
winlogon,high,13.2,29.4,96.2,0.0,9.9,0.0,0.4,gemma4:latest@default,default,0,9.0,benign,33.8,high,needs_human_review,uncertain
ssh,high,10.9,23.4,73.5,0.0,7.4,0.0,0.4,gemma4:latest@default,default,0,9.0,benign,21.9,high,complete,true_positive
winlogon,high,11.7,27.4,85.2,0.0,7.6,0.0,0.4,gemma4:latest@default,default,0,8.4,fp_control,29.1,high,needs_human_review,true_positive
powershell,high,16.5,18.3,88.7,0.0,17.6,0.0,0.4,gemma4:latest@default,default,0,9.5,benign,25.9,medium,needs_human_review,false_positive
tp_chain,medium,19.7,26.3,102.5,0.0,11.2,0.0,0.4,gemma4:latest@default,default,0,10.0,needle,34.4,high,needs_human_review,uncertain
powershell,high,19.0,13.7,88.3,0.0,17.2,0.0,0.4,gemma4:latest@default,default,0,9.4,needle,28.1,critical,needs_human_review,true_positive
ssh,medium,22.0,25.0,86.3,0.0,7.7,0.0,0.4,gemma4:latest@default,default,0,9.7,needle,21.0,medium,needs_human_review,uncertain
winlogon,high,11.4,27.0,85.6,0.0,8.9,0.0,0.4,gemma4:latest@default,default,0,8.4,fp_control,29.0,high,needs_human_review,true_positive
email,high,23.3,23.4,88.5,0.0,12.5,0.0,0.4,gemma4:latest@default,default,0,8.6,needle,19.9,critical,needs_human_review,true_positive
tp_chain,high,17.7,28.5,93.5,0.0,12.1,0.0,0.4,gemma4:latest@default,default,0,8.3,needle,26.1,critical,needs_human_review,true_positive
email,high,48.2,72.0,761.6,0.0,24.3,0.0,0.4,glm-4.7-flash@low,low,0,16.1,benign,600.0,high,needs_human_review,true_positive
winlogon,high,23.9,51.8,703.8,0.0,14.5,0.0,0.4,glm-4.7-flash@low,low,0,12.8,benign,600.0,high,needs_human_review,uncertain
ssh,medium,612.6,39.6,728.7,0.0,12.4,0.0,0.4,glm-4.7-flash@low,low,0,12.1,benign,51.2,medium,needs_human_review,false_positive
winlogon,medium,31.8,48.5,710.0,0.0,15.1,0.0,0.4,glm-4.7-flash@low,low,0,13.5,fp_control,600.0,medium,needs_human_review,uncertain
powershell,medium,57.3,65.2,209.3,0.0,29.4,0.0,0.4,glm-4.7-flash@low,low,0,18.2,benign,38.1,low,needs_human_review,false_positive
tp_chain,high,40.2,612.0,706.9,0.0,17.8,0.0,0.4,glm-4.7-flash@low,low,0,12.2,needle,23.8,low,needs_human_review,false_positive
powershell,high,41.0,54.9,752.1,0.0,43.5,0.0,0.4,glm-4.7-flash@low,low,0,11.8,needle,600.0,high,needs_human_review,true_positive
ssh,medium,624.8,38.4,752.5,0.0,14.1,0.0,0.4,glm-4.7-flash@low,low,0,16.3,needle,58.0,medium,needs_human_review,uncertain
winlogon,medium,31.0,47.8,713.1,0.0,20.2,0.0,0.4,glm-4.7-flash@low,low,0,13.2,fp_control,600.0,medium,needs_human_review,uncertain
email,medium,46.8,46.0,727.9,0.0,19.9,0.0,0.4,glm-4.7-flash@low,low,0,14.2,needle,600.0,high,needs_human_review,uncertain
tp_chain,high,614.1,44.1,1289.4,0.0,18.2,0.0,0.4,glm-4.7-flash@low,low,0,12.2,needle,600.0,high,needs_human_review,true_positive
email,high,2.8,15.5,65.4,0.0,33.9,0.0,0.4,gpt-oss:120b@low,low,0,2.6,benign,9.7,medium,needs_human_review,uncertain
winlogon,high,3.7,14.1,33.0,0.0,2.5,0.0,0.4,gpt-oss:120b@low,low,0,2.7,benign,9.1,medium,complete,uncertain
ssh,high,2.5,14.5,31.3,0.0,1.8,0.0,0.4,gpt-oss:120b@low,low,0,2.9,benign,8.7,medium,needs_human_review,true_positive
winlogon,high,4.0,15.3,37.1,0.0,3.2,0.0,0.4,gpt-oss:120b@low,low,0,3.2,fp_control,10.5,medium,needs_human_review,true_positive
powershell,medium,4.2,16.1,39.8,0.0,3.4,0.0,0.4,gpt-oss:120b@low,low,0,3.0,benign,12.3,high,needs_human_review,true_positive
tp_chain,medium,4.8,18.3,39.0,0.0,3.2,0.0,0.4,gpt-oss:120b@low,low,0,3.2,needle,8.6,medium,needs_human_review,uncertain
powershell,high,2.2,15.4,35.6,0.0,3.2,0.0,0.4,gpt-oss:120b@low,low,0,3.0,needle,10.9,high,needs_human_review,true_positive
ssh,medium,3.6,14.2,31.1,0.0,2.1,0.0,0.4,gpt-oss:120b@low,low,0,2.9,needle,7.3,medium,needs_human_review,uncertain
winlogon,high,3.5,13.8,33.4,0.0,2.0,0.0,0.4,gpt-oss:120b@low,low,0,2.7,fp_control,10.3,medium,needs_human_review,uncertain
email,medium,2.9,15.7,38.2,0.0,2.9,0.0,0.4,gpt-oss:120b@low,low,0,3.0,needle,12.7,high,needs_human_review,true_positive
tp_chain,medium,4.8,16.4,38.3,0.0,2.4,0.0,0.4,gpt-oss:120b@low,low,0,2.8,needle,11.0,high,needs_human_review,true_positive
email,medium,3.7,9.1,31.7,0.0,7.8,0.0,0.4,gpt-oss:20b@low,low,0,2.1,benign,8.2,high,needs_human_review,uncertain
winlogon,high,4.1,7.3,23.5,0.0,1.7,0.0,0.4,gpt-oss:20b@low,low,0,2.0,benign,7.6,low,complete,false_positive
ssh,medium,1.9,8.8,21.6,0.0,1.0,0.0,0.4,gpt-oss:20b@low,low,0,2.2,benign,6.8,high,needs_human_review,uncertain
winlogon,medium,2.3,9.4,23.5,0.0,1.6,0.0,0.4,gpt-oss:20b@low,low,0,2.1,fp_control,7.3,medium,needs_human_review,uncertain
powershell,medium,1.6,9.2,28.7,0.0,2.0,0.0,0.4,gpt-oss:20b@low,low,0,2.2,benign,12.8,medium,needs_human_review,uncertain
tp_chain,medium,2.1,8.0,22.1,0.0,1.6,0.0,0.4,gpt-oss:20b@low,low,0,2.3,needle,7.1,medium,needs_human_review,uncertain
powershell,medium,2.6,9.9,25.2,0.0,4.1,0.0,0.4,gpt-oss:20b@low,low,0,2.6,needle,5.1,high,needs_human_review,true_positive
ssh,medium,2.0,8.3,21.3,0.0,1.0,0.0,0.4,gpt-oss:20b@low,low,0,1.8,needle,7.3,high,needs_human_review,uncertain
winlogon,medium,2.1,8.2,21.7,0.0,1.6,0.0,0.4,gpt-oss:20b@low,low,0,1.9,fp_control,6.9,medium,needs_human_review,uncertain
